ID,Name,Cuisine,Delivery_rating,Dining_rating,Overall_rating,Area,Offer,Votes,Featured
101834,Blackout Club & Terrace,"North Indian, Italian, Continental, Finger Food",,4.2,4.2,"C Scheme, Jaipur",Pro - Get 20% off,"2,408",NO
18892581,Playboy Club,"Finger Food, Continental, Asian, North Indian, Mexican, Italian",,4.2,4.2,"C Scheme, Jaipur",,850,NO
100305,The Forresta Kitchen & Bar,"North Indian, Italian, Mughlai, Fast Food, Chinese, Desserts, Beverages, Finger Food",4.0,4.2,4.1,"Devraj Niwas, Bani Park, Jaipur",,"1,727",NO
19968702,A Cup Of Joy,"Fast Food, Beverages",3.9,3.1,3.5,"Pratap Nagar, Jaipur",,80,NO
19512364,The Real Rajputana Taste,North Indian,4.3,4.2,4.3,"Tonk Road, Jaipur",,801,NO
19821911,Chaisto,"Fast Food, Beverages, Street Food",4.1,3.4,3.8,"Lal Kothi, Jaipur",,214,NO
101243,Khandelwal Dhaba,"North Indian, Fast Food",3.6,3.9,3.8,"Sanganer, Jaipur",,"8,028",NO
20061808,The Night Bird Cafe,"Fast Food, Chinese, Pizza, Street Food, Momos, Shake, Beverages, Pasta",3.7,3.1,3.4,"Jagatpura, Jaipur",,11,NO
19782537,Le Momos,"Momos, Chinese, Pasta",4.0,3.5,3.8,"Mansarovar, Jaipur",,551,NO
19653957,King Dom's Pizza & Burger,"Pizza, Burger, Fast Food, Beverages",4.1,3.5,3.8,"Amer Road, Jaipur",,184,NO
19571344,FPF - Coffee Wale Bhaiya,"Fast Food, Italian, Beverages, Momos",4.3,3.5,3.9,"Chitrakoot, Jaipur",,149,NO
20053252,Vandey's,"Beverages, Chinese, Sandwich, Fast Food",3.9,,3.9,"Pratap Nagar, Jaipur",,60,NO
2300183,Mr Brown,"Fast Food, Sandwich, Bakery, Desserts, Coffee, Beverages",4.0,4.5,4.3,"Mall Road, Kanpur",,"1,277",NO
19365873,Yellow Sapphire Foods,"Fast Food, Chinese, Burger, Rolls",4.2,,4.2,"Kidwai Nagar Market, Kanpur",,279,NO
19169516,Jai Siya Ram,"North Indian, Mughlai",3.9,3.4,3.7,"Kidwai Nagar, Kanpur",,"3,275",NO
2301154,Yash Bhojanalaya,North Indian,3.8,3.7,3.8,"Kakadeo, Kanpur",,"1,286",NO
2304498,Pizza Yum,"Pizza, Fast Food, Street Food, Desserts",4.0,3.5,3.8,"Swaroop Nagar, Kanpur",,578,NO
19632343,Maa Annapurna Foods,"North Indian, Shake",3.7,3.4,3.6,"Kidwai Nagar Market, Kanpur",,"1,166",NO
19232985,Dominic's Pizza And Fast Food,"Pizza, Fast Food, Chinese, South Indian",3.5,3.8,3.7,"Rai Purwa, Kanpur",Pro - Get 20% off,"5,222",NO
2300251,My Choice Galaxy Restaurant & Bakery,"North Indian, Chinese, South Indian, Fast Food, Bakery",4.1,3.1,3.6,"Keshavpuram, Kanpur",,"1,601",NO
2301415,Bakista,"Bakery, Fast Food, Sandwich, Beverages, Shake",3.9,4.6,4.3,"Kidwai Nagar, Kanpur",,"9,721",NO
19193911,New Bettar Pizza Point,"Pizza, Fast Food, Desserts, Beverages",3.9,3.1,3.5,"IIT Kanpur, Kanpur",,"1,386",NO
18377936,Liquid,"Finger Food, North Indian, Continental, Italian, Mediterranean",3.9,4.1,4.0,"Ashok Nagar, Kanpur",Pro - Get 20% off,654,NO
2300890,Shor - Lounge & Bar,"Chinese, North Indian, Italian, Finger Food",,4.0,4.0,"Swaroop Nagar, Kanpur",Pro - Get 15% off,292,NO
2300606,Skyfall Lounge - Hotel Vijay Intercontinental,North Indian,3.3,3.9,3.6,"Tilak Nagar, Kanpur",Pro - Get 20% off,137,NO
2304633,Kingdom Of Momos,"Momos, Chinese",4.3,3.7,4.0,"Kakadeo, Kanpur",,411,NO
19284309,Pizza Wale 99,"Pizza, Fast Food",4.0,,4.0,"Shyam Nagar, Kanpur",,"1,781",NO
19410174,Pandit Ji Fast Food,"South Indian, Chinese, Fast Food",3.7,,3.7,"Lal Bangla, Kanpur",,873,NO
2300819,Meezzaah,"Fast Food, Pizza, Chinese, Beverages",3.8,3.7,3.8,"Nandlal Chawraha, Kanpur",Pro - Get 25% off,"4,829",NO
